,index,ts_code,det_price,share_price,conv_price,over_rate
0,55,123013.SZ,432.0,6.33,9.13,5.230900473933649
1,52,128041.SZ,297.0,5.46,6.82,2.70978021978022
2,59,123015.SZ,253.88,4.39,5.79,2.3484400911161734
3,95,128062.SZ,68.2,3.36,16.25,2.2983630952380953
4,43,128037.SZ,92.8,2.59,7.99,1.862826254826255
5,203,113580.SH,240.89,14.4,15.51,1.5945860416666668
6,18,113502.SH,95.54,16.7,44.79,1.562417125748503
7,48,110044.SH,203.14,5.54,6.9,1.5300830324909747
8,11,127004.SZ,170.3,5.05,7.46,1.5157188118811884
9,291,123072.SZ,121.3,36.56,73.13,1.4263317833698024
10,12,128015.SZ,94.3,4.1,9.48,1.1804000000000001
11,0,110031.SH,106.09,10.74,21.56,1.1297024208566107
12,239,127019.SZ,78.3,8.31,21.07,0.9852960288808664
13,226,113589.SH,78.95,5.03,12.44,0.9525606361829025
14,23,128023.SZ,93.83,5.19,10.34,0.8693684007707126
15,53,123011.SZ,91.12,16.98,34.54,0.8535246171967019
16,211,113584.SH,100.91,20.7,37.97,0.8509916425120772
17,174,113569.SH,83.05,6.66,14.84,0.8505435435435436
18,186,113574.SH,96.33,18.0,33.99,0.8190315000000002
19,76,113527.SH,79.93,4.36,9.85,0.8057580275229357
20,29,128030.SZ,264.0,11.48,7.85,0.8052264808362367
21,200,113573.SH,95.1,9.92,18.81,0.8032570564516128
22,189,113575.SH,137.54,11.36,14.56,0.76283661971831
23,60,128044.SZ,85.1,2.86,5.91,0.758534965034965
24,257,113597.SH,90.71,12.29,23.4,0.7271065907241661
25,136,123034.SZ,178.11,8.26,7.97,0.7185674334140436
26,277,128132.SZ,89.01,9.66,18.57,0.7110928571428573
27,161,123042.SZ,124.0,17.73,24.4,0.706486181613085
28,10,128014.SZ,100.22,7.42,12.6,0.7018490566037735
29,51,110045.SH,97.0,6.76,11.75,0.6860207100591716
30,5,128012.SZ,100.0,2.61,4.38,0.67816091954023
31,33,128033.SZ,94.59,5.01,8.83,0.6671251497005989
32,275,123065.SZ,98.2,24.16,40.54,0.6477764900662253
33,254,113596.SH,83.0,14.72,29.21,0.64703125
34,263,127021.SZ,94.2,7.11,12.33,0.6335949367088607
35,56,123014.SZ,122.7,6.17,8.12,0.6147876823338735
36,82,110052.SH,95.99,4.72,7.94,0.6147470338983051
37,90,123024.SZ,99.06,15.5,24.9,0.5913509677419355
38,73,123018.SZ,190.99,10.08,8.32,0.576425396825397
39,276,128131.SZ,96.7,12.14,19.54,0.5564398682042834
40,120,128072.SZ,91.36,9.02,15.34,0.5537277161862527
41,32,113017.SH,90.48,1.72,2.95,0.5518372093023258
42,107,113535.SH,90.37,7.31,12.4,0.5329521203830372
43,124,128074.SZ,92.82,10.33,16.97,0.524835818005808
44,250,128122.SZ,97.13,9.04,14.18,0.5235657079646018
45,72,113525.SH,97.99,5.04,7.83,0.5223446428571427
46,103,127013.SZ,93.6,7.02,11.39,0.5186666666666668
47,62,113519.SH,91.02,6.7,11.15,0.5147358208955225
48,74,128052.SZ,232.3,10.23,6.67,0.5146050830889541
49,330,123087.SZ,95.75,15.37,24.23,0.5094486011711127
50,105,110058.SH,88.22,2.96,5.04,0.5021243243243242
51,113,128069.SZ,91.7,11.03,18.04,0.4997896645512238
52,318,123081.SZ,100.0,42.86,64.28,0.49976668222118514
53,308,123076.SZ,87.6,11.11,18.98,0.49653285328532865
54,155,123039.SZ,100.08,22.1,32.87,0.48852018099547484
55,92,113530.SH,92.13,10.42,16.64,0.4712506717850289
56,121,123030.SZ,151.4,5.84,5.65,0.4647431506849316
57,204,113579.SH,106.99,30.89,42.05,0.45643557785691136
58,290,123071.SZ,94.5,13.05,20.05,0.45189655172413773
59,299,110076.SH,113.6,27.13,34.66,0.4512996682639144
60,114,128070.SZ,97.72,6.41,9.51,0.44979282371294826
61,22,128022.SZ,92.77,5.08,7.92,0.446335433070866
62,6,127003.SZ,100.3,2.09,3.0,0.43971291866028694
63,122,128073.SZ,94.5,3.75,5.7,0.4364000000000001
64,123,123031.SZ,217.5,27.93,18.43,0.4352040816326532
65,233,128118.SZ,86.3,16.62,27.53,0.42950601684717193
66,132,110059.SH,101.42,10.26,14.45,0.42838109161793364
67,89,123023.SZ,86.07,4.25,7.04,0.4257242352941174
68,271,113602.SH,106.17,26.28,35.28,0.4252958904109589
69,97,128063.SZ,95.26,5.77,8.63,0.42477261698440233
70,168,113566.SH,93.73,7.11,10.77,0.41979198312236277
71,181,128101.SZ,103.5,10.12,13.86,0.4175000000000001
72,49,127007.SZ,95.9,3.8,5.58,0.4082157894736843
73,81,113021.SH,105.35,5.23,6.98,0.40600956022944523
74,16,128018.SZ,99.29,5.27,7.42,0.39797305502846314
75,302,128136.SZ,122.79,51.54,58.44,0.3922870779976718
76,258,128125.SZ,101.6,18.82,25.79,0.3922763018065885
77,91,127012.SZ,103.0,6.53,8.81,0.3896324655436447
78,127,128076.SZ,87.35,9.28,14.76,0.38931681034482757
79,112,123028.SZ,81.89,6.98,11.84,0.3890796561604585
80,142,110062.SH,102.02,18.84,25.65,0.38896656050955414
81,329,123088.SZ,85.57,12.8,20.75,0.3871699218749997
82,54,123012.SZ,112.91,4.33,5.31,0.38464688221709004
83,130,113546.SH,90.89,9.27,14.1,0.3824692556634304
84,193,113576.SH,90.38,6.9,10.55,0.3818971014492752
85,298,113607.SH,105.51,16.81,22.01,0.38148429506246334
86,253,128123.SZ,99.51,9.89,13.7,0.37844994944388266
87,7,128013.SZ,96.57,2.18,3.1,0.37324311926605486
88,3,113009.SH,106.33,11.04,14.23,0.37053976449275366
89,256,128124.SZ,97.9,15.37,21.51,0.37009043591411844
90,96,113532.SH,93.74,5.28,7.69,0.3652662878787877
91,216,123054.SZ,88.26,10.68,16.49,0.36274101123595487
92,331,113614.SH,110.56,30.89,38.04,0.36150935577856913
93,320,123082.SZ,100.19,8.41,11.41,0.3592959571938167
94,24,128025.SZ,94.2,10.2,14.7,0.35758823529411776
95,229,127018.SZ,75.76,2.81,5.03,0.3561309608540926
96,180,128100.SZ,75.52,1.62,2.9,0.3519012345679009
97,283,113604.SH,93.66,7.24,10.44,0.350566850828729
98,80,113528.SH,91.73,15.93,23.45,0.35032548650345274
99,176,110067.SH,103.5,6.65,8.67,0.34939097744360886
100,333,128142.SZ,128.27,17.8,18.69,0.34683500000000006
101,118,123029.SZ,2820.0,237.97,11.32,0.34144640080682426
102,78,128056.SZ,99.5,4.97,6.7,0.3413480885311871
103,284,110075.SH,121.93,5.71,6.24,0.33247495621716305
104,42,127006.SZ,99.54,15.32,20.42,0.32676684073107054
105,190,127016.SZ,92.86,6.24,8.91,0.3259336538461538
106,50,123010.SZ,94.99,8.75,12.2,0.3244319999999997
107,327,123085.SZ,91.5,4.33,6.24,0.3186143187066976
108,245,113594.SH,96.98,28.98,39.37,0.31749572118702557
109,37,128035.SZ,112.2,44.47,52.1,0.3145086575219249
110,158,113561.SH,96.23,7.49,10.23,0.31432963951935916
111,13,113013.SH,113.96,16.49,19.01,0.3137535476046091
112,272,128129.SZ,101.09,4.42,5.74,0.31279773755656115
113,222,113588.SH,103.66,10.56,13.36,0.3114560606060604
114,131,127014.SZ,98.3,6.57,8.75,0.3091704718417046
115,99,113024.SH,102.68,7.66,9.76,0.30829869451697123
116,312,123078.SZ,99.66,14.75,19.34,0.30672840677966107
117,150,110064.SH,94.03,3.29,4.57,0.30613100303951374
118,306,113608.SH,95.78,14.13,19.24,0.30418060863411167
119,228,128116.SZ,92.9,21.29,29.82,0.30121089713480514
120,324,113043.SH,107.12,10.99,13.33,0.2992808007279345
121,85,110053.SH,107.66,5.56,6.69,0.2954053956834533
122,148,128087.SZ,83.45,4.07,6.3,0.2917321867321867
123,310,123077.SZ,89.62,6.75,9.72,0.2905280000000001
124,208,127017.SZ,106.15,11.67,14.16,0.28798971722365063
125,84,127011.SZ,114.0,10.26,11.59,0.28777777777777785
126,57,128042.SZ,95.35,9.63,12.96,0.2832149532710279
127,249,113037.SH,101.0,3.74,4.75,0.2827540106951871
128,234,113036.SH,94.4,3.58,4.86,0.28151955307262594
129,323,123083.SZ,102.02,12.41,15.57,0.2799769540692988
130,25,128026.SZ,94.48,8.46,11.45,0.2787186761229313
131,213,123053.SZ,99.41,16.18,20.8,0.27795302843016073
132,14,113014.SH,93.05,6.22,8.54,0.2775675241157557
133,242,128120.SZ,92.29,17.62,24.37,0.2764513620885359
134,274,123064.SZ,120.23,88.24,93.55,0.2746505553037171
135,111,113027.SH,102.09,8.16,10.17,0.2723716911764706
136,322,127026.SZ,92.1,9.31,12.85,0.2711976369495166
137,179,123045.SZ,100.27,15.9,20.13,0.2694560377358489
138,184,110068.SH,98.0,8.31,10.73,0.2653910950661853
139,264,113600.SH,85.5,16.13,23.85,0.26421264724116583
140,26,123004.SZ,95.16,3.0,3.98,0.262456
141,300,123075.SZ,95.5,18.21,23.99,0.25812465678198765
142,251,110073.SH,106.76,12.95,15.25,0.25721235521235525
143,88,110056.SH,98.07,11.71,15.01,0.2570714773697694
144,143,128082.SZ,89.33,8.33,11.71,0.2557674669867948
145,1,110033.SH,107.18,6.13,7.18,0.25538727569331154
146,58,113516.SH,103.41,4.55,5.52,0.2545564835164834
147,172,123043.SZ,115.5,14.19,15.41,0.2543023255813954
148,30,110041.SH,101.0,2.17,2.69,0.2520276497695852
149,19,110038.SH,101.86,19.41,23.85,0.2516027820710975
150,135,123033.SZ,114.21,37.2,40.68,0.24894161290322578
151,248,123061.SZ,101.0,12.02,14.86,0.24863560732113157
152,280,128133.SZ,104.2,25.14,30.12,0.24841050119331748
153,70,113524.SH,94.65,10.77,14.08,0.23739275766016732
154,210,128109.SZ,103.89,7.34,8.73,0.23563991825613081
155,339,113616.SH,161.9,292.0,222.83,0.23548551369863033
156,266,110074.SH,90.93,2.76,3.75,0.23546195652173932
157,231,123057.SZ,95.85,7.7,9.91,0.23360194805194798
158,261,113599.SH,96.02,19.32,24.82,0.2335488612836438
159,163,113563.SH,102.19,20.3,24.47,0.2318173891625615
160,232,128117.SZ,100.19,23.66,29.03,0.2292965765004228
161,201,113578.SH,90.37,4.02,5.43,0.22066940298507487
162,311,113609.SH,85.98,14.33,20.34,0.2204
163,334,123089.SZ,89.02,5.84,8.0,0.21945205479452048
164,305,127025.SZ,107.0,13.85,15.78,0.2191046931407942
165,236,110071.SH,93.31,5.06,6.6,0.2170869565217391
166,102,113026.SH,102.8,4.95,5.86,0.21698585858585848
167,173,113568.SH,91.42,6.7,8.91,0.21574955223880582
168,297,113606.SH,99.27,27.25,33.32,0.21382620183486234
169,244,127020.SZ,106.88,4.15,4.71,0.21302361445783113
170,40,128036.SZ,133.0,7.64,6.96,0.2116230366492148
171,309,110077.SH,102.63,6.06,7.13,0.20751138613861395
172,144,128083.SZ,103.0,9.99,11.7,0.20630630630630628
173,138,123035.SZ,107.5,6.25,6.98,0.20056000000000007
174,175,113570.SH,92.41,8.89,11.54,0.19956287964004463
175,328,113044.SH,99.9,6.39,7.66,0.197549295774648
176,94,110057.SH,102.56,8.47,9.89,0.1975423848878394
177,246,113595.SH,85.66,4.96,6.93,0.19682217741935473
178,41,127005.SZ,123.0,7.49,7.28,0.19551401869158877
179,194,128106.SZ,114.2,8.97,9.39,0.1954715719063547
180,303,127024.SZ,113.5,7.89,8.31,0.19541825095057036
181,288,128135.SZ,131.0,66.71,60.83,0.1945330535152151
182,199,123050.SZ,112.89,4.9,5.18,0.19340857142857124
