,index,ts_code,det_price,share_price,conv_price,over_rate
0,53,123013.SZ,388.4,7.07,9.13,4.0156888260254595
1,50,128041.SZ,292.6,5.66,6.82,2.525674911660778
2,57,123015.SZ,211.93,3.8,5.79,2.2291439473684216
3,90,128062.SZ,76.33,3.96,16.25,2.1322285353535353
4,46,110044.SH,241.94,5.62,6.9,1.9704377224199294
5,275,123072.SZ,126.0,35.69,73.13,1.5817820117680021
6,10,127004.SZ,159.3,4.91,7.46,1.4203217922606923
7,196,113580.SH,250.7,16.13,15.51,1.4106367017978922
8,17,113502.SH,101.79,19.83,44.79,1.29912965204236
9,70,113526.SH,290.94,7.83,6.11,1.270298084291188
10,224,127019.SZ,87.8,9.01,21.07,1.053214206437292
11,41,128037.SZ,96.02,3.74,7.99,1.0513363636363635
12,27,128030.SZ,277.64,10.72,7.85,1.0330914179104476
13,286,128136.SZ,113.18,33.45,58.36,0.9746441853512706
14,69,123018.SZ,214.0,9.13,8.32,0.9501423877327493
15,11,128015.SZ,99.65,4.93,9.48,0.916190669371197
16,179,113574.SH,98.89,17.86,33.99,0.882010694288914
17,283,110076.SH,106.91,19.76,34.66,0.8752533400809713
18,0,110031.SH,106.79,12.31,21.56,0.8703431356620631
19,22,128023.SZ,96.95,5.37,10.34,0.8667839851024209
20,203,113584.SH,100.2,20.64,37.97,0.8433110465116277
21,51,123011.SZ,97.1,18.46,34.54,0.8168114842903572
22,259,123065.SZ,101.2,22.9,40.54,0.7915493449781662
23,213,113589.SH,87.76,6.2,12.44,0.7608619354838708
24,247,127021.SZ,100.2,7.04,12.33,0.7549232954545455
25,167,113569.SH,93.99,7.96,14.84,0.7522758793969849
26,49,110045.SH,104.58,7.09,11.75,0.7331664315937941
27,58,128044.SZ,92.73,3.18,5.91,0.7233783018867924
28,242,113597.SH,98.83,13.72,23.4,0.6855845481049561
29,239,113596.SH,89.0,15.47,29.21,0.6804718810601162
30,193,113573.SH,97.96,11.21,18.81,0.6437355932203388
31,9,128014.SZ,103.75,8.0,12.6,0.6340625
32,4,128012.SZ,100.0,2.7,4.38,0.6222222222222221
33,292,123076.SZ,93.52,10.97,18.98,0.6180579762989972
34,260,128131.SZ,100.33,12.17,19.54,0.6108859490550533
35,77,110052.SH,97.85,4.9,7.94,0.5855693877551019
36,154,123042.SZ,125.67,19.43,24.4,0.5781513124034995
37,329,113619.SH,100.92,17.02,26.5,0.571316098707403
38,99,110058.SH,97.6,3.2,5.04,0.5371999999999999
39,30,113017.SH,95.94,1.86,2.95,0.5216290322580646
40,325,127028.SZ,101.85,13.43,19.89,0.5084113924050632
41,130,123034.SZ,168.5,8.91,7.97,0.5072334455667789
42,235,128122.SZ,101.0,9.51,14.18,0.5059726603575184
43,60,113519.SH,99.04,7.38,11.15,0.49633604336043385
44,71,113527.SH,87.39,5.76,9.85,0.49442968750000005
45,114,128072.SZ,97.8,10.04,15.34,0.4942749003984065
46,302,123081.SZ,96.94,41.73,64.28,0.49324303858135626
47,174,128101.SZ,105.92,9.89,13.86,0.48437937310414547
48,219,128118.SZ,95.9,17.84,27.53,0.47989181614349785
49,274,123071.SZ,100.1,13.68,20.05,0.46710891812865496
50,141,128087.SZ,97.76,4.2,6.3,0.4664
51,272,128135.SZ,116.0,48.3,60.83,0.4609275362318841
52,92,128063.SZ,100.7,5.99,8.63,0.45081969949916545
53,106,123028.SZ,95.41,7.81,11.84,0.44642048655569777
54,87,113530.SH,99.7,11.5,16.64,0.44261565217391313
55,98,127013.SZ,96.61,7.65,11.39,0.43841555555555556
56,258,123064.SZ,117.18,76.51,93.57,0.4330849039341262
57,35,128035.SZ,112.69,41.0,52.1,0.43198756097560986
58,101,113535.SH,96.43,8.36,12.4,0.4303014354066989
59,116,128073.SZ,100.65,4.04,5.7,0.42006188118811894
60,5,127003.SZ,105.26,2.23,3.0,0.4160538116591927
61,261,128132.SZ,94.81,12.5,18.57,0.40849736000000014
