,index,ts_code,det_price,share_price,conv_price,over_rate
0,11,128013.SZ,93.3,3.58,9.98,1.6009329608938547
1,9,128012.SZ,92.306,2.94,7.71,1.4206777551020409
2,15,127004.SZ,90.73,3.55,7.72,0.9730580281690143
3,8,128010.SZ,100.33,4.86,9.28,0.9157662551440326
4,32,128023.SZ,92.807,5.2,10.34,0.8454314999999999
5,35,123003.SZ,98.8,8.7,16.08,0.826096551724138
6,22,128018.SZ,93.45,6.25,11.83,0.7688216
7,31,128022.SZ,104.401,6.74,10.99,0.7023249109792284
8,2,110031.SH,113.66,29.66,42.38,0.6240427511800405
9,16,128015.SZ,98.502,7.98,12.86,0.5873881203007515
10,62,128037.SZ,94.1,4.82,8.03,0.5676825726141076
11,41,128028.SZ,101.5,27.74,42.58,0.5579920692141312
12,19,113014.SH,102.57,5.8,8.76,0.5491606896551723
13,0,110030.SH,102.94,4.67,6.94,0.5297721627408994
14,36,128026.SZ,93.453,7.53,11.64,0.44461211155378505
15,45,128032.SZ,100.21,7.06,9.99,0.4179856940509916
16,54,128035.SZ,108.6,40.9,52.5,0.3940097799511003
17,20,128017.SZ,106.421,17.81,23.32,0.3934518360471649
18,71,113511.SH,99.41,18.52,25.85,0.3875531857451404
19,13,113012.SH,101.69,9.95,13.44,0.37358150753768854
20,77,110045.SH,105.4,9.68,12.4,0.35016528925619844
21,27,128020.SZ,105.1,12.57,16.0,0.3377883850437549
22,7,113009.SH,111.0,12.32,14.74,0.32803571428571415
23,18,128016.SZ,110.1,18.89,22.63,0.318985177342509
24,66,113508.SH,101.81,18.34,23.74,0.31786772082878945
25,25,113502.SH,97.37,33.5,45.27,0.3158029552238808
26,70,113510.SH,100.18,8.65,11.32,0.31102612716762995
27,26,110038.SH,116.21,35.5,40.04,0.3107178591549293
28,14,128014.SZ,100.03,10.35,13.53,0.30763855072463764
29,42,128029.SZ,110.1,7.39,8.75,0.3036197564276048
30,6,110034.SH,108.33,15.53,18.42,0.28489285254346436
31,55,113019.SH,108.51,16.05,18.84,0.2737248598130842
32,93,128046.SZ,105.1,15.61,18.82,0.26712491992312637
33,74,123010.SZ,98.759,11.18,14.3,0.26319651162790714
34,88,113517.SH,116.52,48.24,51.28,0.23862885572139286
35,61,127006.SZ,110.31,18.6,20.82,0.2347603225806451
36,90,128044.SZ,99.93,8.62,10.63,0.23231542923433918
37,10,127003.SZ,96.31,2.79,3.5,0.208189964157706
38,5,110033.SH,111.01,7.93,8.61,0.20529142496847413
39,47,113017.SH,100.22,2.48,2.96,0.1961741935483872
40,85,128042.SZ,103.2,11.46,13.25,0.1931937172774868
41,69,128040.SZ,98.22,9.43,11.45,0.19259703075291607
42,17,113013.SH,123.5,20.57,19.8,0.18877005347593587
43,60,127005.SZ,118.001,7.4,7.45,0.1879830405405405
44,38,113503.SH,105.01,15.92,17.99,0.18663938442211045
45,43,128030.SZ,111.3,7.65,8.15,0.18574509803921552
46,24,128019.SZ,109.0,7.62,8.22,0.17582677165354346
47,91,128045.SZ,118.0,7.72,7.66,0.17082901554404148
48,30,128021.SZ,103.25,4.76,5.35,0.16047794117647066
49,48,128033.SZ,101.6,7.91,9.03,0.15985840707964588
50,56,113504.SH,112.82,21.2,21.73,0.1564049999999999
51,57,113505.SH,105.0,6.66,7.29,0.14932432432432433
52,67,113509.SH,106.1,17.92,19.38,0.14744308035714254
53,111,128051.SZ,102.13,15.19,17.03,0.14501244239631333
54,29,110040.SH,118.24,12.0,11.62,0.1449573333333331
55,12,113011.SH,115.5,4.17,4.13,0.14392086330935253
56,94,128047.SZ,118.021,41.8,40.26,0.13672857894736834
57,52,110043.SH,108.35,6.39,6.7,0.13606416275430358
58,33,128024.SZ,118.199,18.74,18.01,0.1359466328708646
59,92,113518.SH,116.0,53.6,52.38,0.13359701492537318
60,58,123009.SZ,121.381,29.91,27.69,0.12371778335005017
61,44,110041.SH,112.28,2.92,2.92,0.1228
62,76,113513.SH,108.4,34.26,35.46,0.12196847635726822
63,101,113020.SH,115.72,13.04,12.63,0.12081564417177929
64,118,127010.SZ,116.0,12.2,11.77,0.11911475409836073
65,53,123008.SZ,136.001,38.56,31.23,0.10148112811203323
66,59,128036.SZ,99.846,8.73,9.62,0.10025030927835045
67,34,128025.SZ,104.52,15.32,16.1,0.09841514360313329
68,107,110048.SH,117.65,9.31,8.69,0.09815091299677754
69,37,128027.SZ,122.55,16.99,15.11,0.08989434961742206
70,102,123017.SZ,109.45,82.23,81.49,0.0846504317159186
71,110,113524.SH,104.14,14.19,14.76,0.08323213530655389
72,1,113008.SH,118.36,5.68,5.19,0.08149366197183118
73,96,113519.SH,109.85,12.18,11.99,0.08136412151067315
74,109,128050.SZ,100.491,20.22,21.74,0.0804521958456972
75,112,113525.SH,118.85,12.72,11.56,0.08011477987421375
76,80,113514.SH,100.4,5.51,5.92,0.07870780399274055
77,108,113523.SH,107.97,24.03,23.92,0.07475755305867675
78,105,113522.SH,119.82,33.3,29.86,0.07442198198198206
79,84,123014.SZ,105.985,8.05,8.15,0.07301583850931664
80,113,110049.SH,121.27,16.45,14.55,0.07263130699088159
81,23,113016.SH,104.5,16.84,17.2,0.06733966745843223
82,82,113515.SH,108.35,9.53,9.38,0.06644596012591823
83,104,110047.SH,115.5,3.64,3.34,0.05980769230769227
84,49,123007.SZ,112.0,16.08,15.2,0.0587064676616916
85,73,127007.SZ,111.2,8.34,7.92,0.056000000000000084
86,46,110042.SH,121.3,16.35,14.23,0.055718042813455514
87,64,113506.SH,117.01,24.03,21.65,0.05420994590095706
88,86,128043.SZ,109.051,11.94,11.43,0.04393042713567846
89,117,127009.SZ,116.67,6.18,5.52,0.0421009708737864
90,106,128049.SZ,105.3,7.66,7.57,0.040627937336814524
91,120,113527.SH,108.1,15.55,14.96,0.039984565916398714
92,39,123004.SZ,107.58,4.13,3.99,0.03933220338983063
93,28,123002.SZ,119.101,10.01,8.72,0.037523196803197004
94,68,128039.SZ,106.01,5.98,5.84,0.035281605351170586
95,114,110050.SH,135.07,10.4,7.95,0.03250625000000006
96,21,113015.SH,128.66,28.64,22.98,0.032334776536312775
97,119,113526.SH,108.64,12.97,12.31,0.03111673091750191
98,51,128034.SZ,111.91,6.17,5.67,0.02841118314424623
99,100,113521.SH,114.0,10.07,8.95,0.013207547169811215
100,79,123011.SZ,108.3,37.5,34.96,0.00964479999999996
101,97,113520.SH,127.0,23.95,19.03,0.009106471816283941
102,98,128048.SZ,117.488,7.06,6.06,0.008466402266288964
103,83,123013.SZ,108.49,10.0,9.26,0.004617399999999974
104,50,113018.SH,129.14,7.41,5.76,0.0038412955465585243
105,89,123015.SZ,115.83,6.72,5.82,0.0031705357142858067
106,65,113507.SH,113.49,8.35,7.37,0.001702155688622734
107,87,113516.SH,122.52,7.76,6.34,0.0010010309278350828
108,75,113512.SH,130.47,65.01,49.85,0.0004506229810796898
109,103,110046.SH,122.26,13.31,10.89,0.00030909090909101556
110,4,110032.SH,148.82,10.8,7.25,-0.000976851851851845
111,3,123001.SZ,112.0,4.84,4.31,-0.0026446280991736324
112,81,123012.SZ,118.02,7.66,6.47,-0.003146997389034009
113,63,128038.SZ,105.65,1.83,1.72,-0.007005464480874353
114,72,110044.SH,123.99,8.7,6.91,-0.015205862068965473
115,78,128041.SZ,143.0,10.02,6.88,-0.018123752495009957
116,116,128052.SZ,114.502,8.13,6.97,-0.01835308733087345
117,40,123006.SZ,167.2,19.5,11.36,-0.025952820512820635
118,95,123016.SZ,132.1,12.83,9.45,-0.027010911925175452
119,115,123018.SZ,113.8,9.89,8.41,-0.03229726996966634
120,99,127008.SZ,166.111,14.31,6.78,-0.2129751362683438
