,index,ts_code,det_price,share_price,conv_price,over_rate
0,268,113595.SH,105.35,0.0,6.94,inf
1,57,123013.SZ,343.98,10.35,9.13,2.0343356521739135
2,101,128062.SZ,76.79,4.62,16.25,1.70094696969697
3,50,110044.SH,246.19,7.28,6.9,1.3333942307692308
4,45,128037.SZ,98.5,3.43,7.99,1.2945043731778425
5,61,123015.SZ,248.16,6.79,5.79,1.116121354933726
6,12,127004.SZ,168.85,6.37,7.46,0.9774270015698586
7,20,113502.SH,104.0,23.86,44.79,0.9522883487007544
8,54,128041.SZ,221.0,7.84,6.85,0.9309311224489797
9,25,128023.SZ,96.15,5.52,10.34,0.8010706521739133
10,189,113569.SH,102.4,8.58,14.84,0.7711142191142193
11,261,127019.SZ,92.57,11.09,21.07,0.7587465284039675
12,13,128015.SZ,101.0,5.53,9.48,0.7314285714285713
13,53,110045.SH,98.51,6.83,11.75,0.6947181551976576
14,1,110031.SH,107.8,14.24,21.56,0.6321404494382021
15,232,113584.SH,111.3,26.29,37.97,0.6074785089387598
16,33,128032.SZ,102.92,6.4,9.89,0.590435625
17,11,128014.SZ,103.99,8.34,12.6,0.5710719424460431
18,140,110059.SH,102.25,9.43,14.45,0.5668213149522799
19,46,113508.SH,102.63,10.37,15.78,0.5617178399228543
20,18,113016.SH,100.24,10.1,15.7,0.5581861386138612
21,127,128072.SZ,104.35,10.28,15.34,0.5571293774319066
22,204,113574.SH,104.65,22.85,33.99,0.5566973741794313
23,219,113573.SH,103.33,12.56,18.81,0.5474819267515921
24,297,123065.SZ,116.6,30.81,40.54,0.5342304446608245
25,113,113535.SH,102.33,8.28,12.4,0.5324782608695654
26,81,113527.SH,92.74,6.0,9.85,0.5224816666666665
27,98,113530.SH,105.41,11.62,16.64,0.5094857142857144
28,248,113589.SH,98.85,8.21,12.44,0.4978002436053589
29,35,128033.SZ,102.3,6.11,8.83,0.4784108019639935
30,62,128044.SZ,100.86,4.04,5.91,0.4754519801980198
31,121,128070.SZ,119.7,7.87,9.51,0.44643837357052085
32,6,128012.SZ,100.0,3.03,4.38,0.44554455445544566
33,86,113021.SH,106.5,5.15,6.98,0.44343689320388335
34,296,123064.SZ,114.29,74.25,93.55,0.43997703703703683
35,187,123043.SZ,160.8,17.37,15.41,0.4265561312607946
36,276,113596.SH,109.16,22.46,29.21,0.41966322350845947
37,24,128022.SZ,106.69,5.97,7.92,0.4153849246231156
38,78,123018.SZ,225.0,13.19,8.29,0.4141394996209249
39,34,113017.SH,100.38,2.1,2.95,0.4101000000000002
40,252,113591.SH,103.85,10.85,14.73,0.40987142857142855
41,64,113519.SH,111.75,8.87,11.15,0.4047491544532134
42,198,128101.SZ,114.2,11.83,14.48,0.3978157227387998
43,251,127018.SZ,91.1,3.28,5.03,0.3970518292682928
44,153,128083.SZ,110.0,9.26,11.7,0.38984881209503236
45,209,127016.SZ,105.67,6.84,8.91,0.3764907894736841
46,299,128132.SZ,98.85,13.34,18.57,0.37604535232383807
