,index,ts_code,det_price,share_price,conv_price,over_rate
0,12,128013.SZ,91.5,3.13,9.98,1.9174760383386582
1,10,128012.SZ,84.325,2.25,7.71,1.8895366666666669
2,36,123003.SZ,91.71,6.6,16.08,1.2343890909090909
3,8,128010.SZ,98.693,4.12,9.28,1.2229879611650483
4,16,127004.SZ,90.197,3.15,7.72,1.2105423492063494
5,33,128023.SZ,89.95,4.49,10.34,1.07145434298441
6,40,123004.SZ,94.995,3.8,8.23,1.0573917105263162
7,2,110031.SH,107.85,24.43,42.38,0.8709304134261155
8,42,128028.SZ,97.2,22.38,42.58,0.849319034852547
9,23,128018.SZ,89.71,5.78,11.83,0.8361060553633215
10,55,128035.SZ,99.0,28.76,52.5,0.8071974965229486
11,26,113502.SH,91.4,23.25,45.27,0.7796464516129034
12,20,113014.SH,96.35,4.95,8.76,0.7051030303030302
13,0,110030.SH,102.62,4.19,6.94,0.6997202863961814
14,32,128022.SZ,95.498,6.28,11.0,0.6727356687898087
15,9,113010.SH,102.53,3.71,6.02,0.6636943396226416
16,44,128030.SZ,94.5,4.65,8.15,0.6562903225806451
17,19,128016.SZ,99.49,13.61,22.63,0.6542679647318147
18,63,128037.SZ,90.287,4.49,8.03,0.6147095991091311
19,17,128015.SZ,93.99,7.51,12.86,0.6094692410119839
20,72,113511.SH,93.53,15.23,25.85,0.5874921208141827
21,37,128026.SZ,89.425,6.7,11.64,0.5535925373134327
22,21,128017.SZ,100.0,15.16,23.32,0.5382585751978891
23,46,128032.SZ,95.101,6.22,9.99,0.5274260289389068
24,14,113012.SH,96.1,8.58,13.44,0.5053426573426573
25,28,128020.SZ,93.87,9.98,16.0,0.5049298597194389
26,89,113517.SH,106.55,36.38,51.28,0.50189224848818
27,43,128029.SZ,100.5,5.93,8.75,0.4829258010118044
28,78,110045.SH,99.8,8.39,12.4,0.4749940405244336
29,94,128046.SZ,100.2,12.95,18.82,0.4561884169884172
30,7,113009.SH,105.0,10.7,14.74,0.44644859813084126
31,70,128040.SZ,91.051,7.48,11.45,0.3937619652406415
32,71,113510.SH,95.03,7.75,11.32,0.38805109677419336
33,62,127006.SZ,98.65,14.8,20.82,0.3877655405405405
34,56,113019.SH,102.3,13.91,18.84,0.3855729690869878
35,61,127005.SZ,101.65,5.55,7.45,0.36449099099099125
36,66,113507.SH,94.32,7.56,10.92,0.3624
37,15,128014.SZ,94.56,9.45,13.53,0.3538590476190477
38,27,110038.SH,106.36,31.61,40.04,0.34724909838658646
39,11,127003.SZ,93.08,2.48,3.5,0.31362903225806443
40,39,113503.SH,95.0,13.05,17.99,0.3096168582375477
41,6,110034.SH,102.5,14.48,18.42,0.30390193370165747
42,18,113013.SH,109.14,16.62,19.8,0.30022382671480147
43,75,123010.SZ,93.611,10.33,14.3,0.2958734753146179
44,48,113017.SH,94.67,2.17,2.96,0.2913511520737328
45,5,110033.SH,104.51,7.01,8.61,0.2836392296718974
46,74,127007.SZ,96.65,7.71,10.16,0.27362386511024656
47,59,123009.SZ,102.0,22.28,27.69,0.2676750448833035
48,45,110041.SH,100.95,2.36,2.92,0.2490423728813561
49,102,113020.SH,102.51,10.39,12.63,0.24610327237728602
