,index,ts_code,det_price,share_price,conv_price,over_rate
0,70,113515.SH,116.5,0.0,9.33,inf
1,53,128037.SZ,95.709,0.0,8.01,inf
2,9,128013.SZ,101.9,3.09,9.97,2.2878414239482208
3,6,128010.SZ,103.36,3.62,9.26,1.6439602209944748
4,7,128012.SZ,99.236,2.9,7.71,1.638308827586207
5,2,110031.SH,111.28,20.78,41.94,1.2459495668912413
6,138,128062.SZ,93.555,7.27,16.25,1.09115371389271
7,28,128023.SZ,94.692,4.69,10.34,1.0876658422174836
8,34,128028.SZ,103.049,22.18,42.28,0.9643425247971149
9,13,127004.SZ,95.967,3.85,7.59,0.8919208571428571
10,22,113502.SH,98.26,23.53,45.04,0.8808458988525286
11,17,113014.SH,98.38,4.5,8.59,0.877964888888889
12,38,128032.SZ,95.968,5.49,9.93,0.7358146448087431
13,23,110038.SH,106.22,24.54,38.81,0.6798688671556643
14,81,128046.SZ,103.03,11.78,18.62,0.6285387096774196
15,12,128014.SZ,99.597,8.15,13.28,0.6228811779141102
16,31,128026.SZ,93.9,6.69,11.54,0.6197399103139011
17,27,128022.SZ,100.6,5.07,7.91,0.5695187376725837
18,128,110056.SH,105.46,14.75,21.64,0.5472233220338983
19,65,110045.SH,100.13,7.9,12.02,0.5234969620253165
20,45,128035.SZ,109.999,37.89,52.3,0.5183287674848243
21,149,110058.SH,98.49,4.13,6.35,0.5143135593220337
22,56,113508.SH,103.65,11.54,16.83,0.5116373483535528
23,73,128042.SZ,100.185,8.69,13.01,0.4998928078250863
24,123,113022.SH,107.36,8.97,12.46,0.491310590858417
25,14,128015.SZ,95.97,6.12,9.48,0.4865941176470589
26,11,113012.SH,101.29,9.06,13.29,0.4858102649006622
27,120,127011.SZ,106.301,8.52,11.79,0.4709962323943662
28,148,128065.SZ,96.521,5.92,8.96,0.46085837837837845
29,4,110034.SH,105.77,13.36,18.32,0.4503790419161676
30,143,113024.SH,102.94,7.01,9.87,0.449383452211127
31,106,113527.SH,95.0,6.9,10.52,0.4484057971014493
32,136,123025.SZ,109.2,38.22,50.25,0.4357142857142857
33,57,113509.SH,104.51,13.76,18.89,0.43473393895348833
34,40,113017.SH,100.02,2.07,2.95,0.4254057971014496
35,5,113009.SH,112.89,11.51,14.41,0.4133317984361427
36,18,128017.SZ,111.7,18.2,22.96,0.4091384615384616
37,60,113510.SH,105.19,6.48,8.59,0.39441682098765424
38,42,123007.SZ,103.89,11.31,15.05,0.382444297082228
39,19,128018.SZ,97.902,5.43,7.45,0.3432226519337018
40,52,127006.SZ,103.501,15.99,20.62,0.33470332707942485
