,index,ts_code,det_price,share_price,conv_price,over_rate
0,6,128012.SZ,99.014,2.52,7.71,2.029356904761905
1,8,128013.SZ,100.094,3.2,8.0,1.5023499999999999
2,52,128037.SZ,100.69,3.47,8.01,1.3242850144092215
3,5,128010.SZ,108.01,4.54,9.26,1.2030233480176213
4,27,128023.SZ,98.803,4.67,10.34,1.1876295931477514
5,37,128032.SZ,101.21,5.12,9.93,0.9629205078124998
6,11,128014.SZ,102.295,6.84,12.64,0.8903637426900586
7,132,128062.SZ,91.0,7.92,16.25,0.8671085858585856
8,19,113016.SH,100.5,9.42,17.12,0.8264968152866243
9,16,113014.SH,105.45,4.96,8.59,0.8262409274193548
10,63,110045.SH,102.28,6.91,12.02,0.7791687409551376
11,21,113502.SH,101.78,26.8,45.04,0.7105116417910449
12,93,128050.SZ,100.601,13.04,21.66,0.6710258128834357
13,136,113024.SH,105.51,6.33,9.87,0.6451559241706162
14,30,128026.SZ,96.615,6.81,11.54,0.6372057268722463
15,22,110038.SH,108.88,25.88,38.81,0.6327792890262753
16,32,123004.SZ,101.8,2.54,3.98,0.5951338582677164
17,145,113535.SH,101.06,8.01,12.56,0.5846611735330838
18,10,113012.SH,107.91,9.09,13.29,0.5776940594059404
19,4,113009.SH,111.32,10.2,14.41,0.5726678431372552
20,26,128022.SZ,105.95,5.33,7.91,0.5723536585365854
21,124,123024.SZ,99.979,15.87,24.9,0.5686686200378072
22,44,128035.SZ,118.28,39.8,52.3,0.5542824120603014
23,164,128072.SZ,106.655,10.56,15.36,0.5513454545454546
24,79,128046.SZ,110.507,13.34,18.62,0.5424590254872568
25,7,127003.SZ,103.95,2.06,3.01,0.5188810679611651
26,54,113508.SH,106.08,11.12,15.91,0.5177453237410073
27,47,113505.SH,101.79,4.88,7.24,0.5101631147540984
28,180,110059.SH,107.81,10.86,15.05,0.494052025782689
29,39,113017.SH,102.4,2.05,2.95,0.4735609756097564
30,107,110051.SH,109.27,7.61,10.19,0.4631554533508539
31,108,113528.SH,101.8,16.76,24.03,0.4595787589498805
32,123,123023.SZ,101.4,5.02,7.19,0.4523227091633468
33,96,113525.SH,105.78,5.92,8.11,0.44911452702702703
34,110,113021.SH,111.1,5.58,7.22,0.4375304659498205
35,139,113026.SH,106.82,4.61,6.2,0.4366247288503252
36,18,128018.SZ,100.656,5.22,7.45,0.43656551724137943
37,81,113519.SH,111.66,9.25,11.85,0.43045513513513506
38,69,123013.SZ,103.614,6.68,9.22,0.4301213772455092
39,117,113022.SH,116.19,10.15,12.46,0.4263324137931034
40,128,113530.SH,108.68,12.79,16.76,0.42414136043784234
41,40,128033.SZ,102.702,6.45,8.93,0.42190520930232545
42,13,128015.SZ,109.0,7.27,9.48,0.42134800550206347
43,14,113013.SH,121.18,16.77,19.4,0.40184376863446625
44,43,110043.SH,107.8,5.02,6.52,0.40011155378486063
45,106,128056.SZ,100.79,4.89,6.78,0.39745644171779176
46,135,128064.SZ,101.038,4.45,6.15,0.3963678651685395
47,49,128036.SZ,112.6,7.8,9.62,0.38873333333333326
48,115,127011.SZ,113.695,9.69,11.79,0.3833478328173373
49,183,123033.SZ,108.9,32.45,41.2,0.38264406779661014
50,50,127005.SZ,117.05,6.3,7.43,0.3804468253968254
51,168,113544.SH,115.6,39.86,47.54,0.37873156046161555
52,101,113527.SH,98.22,7.5,10.52,0.3776992000000001
53,94,113524.SH,102.94,10.9,14.56,0.3750517431192661
54,51,127006.SZ,109.97,16.5,20.62,0.3742917575757578
55,119,110055.SH,111.03,13.97,17.25,0.37098604151753756
56,125,127012.SZ,113.0,7.51,9.09,0.36773635153129164
57,77,128045.SZ,118.62,6.62,7.63,0.36717613293051365
58,142,110058.SH,102.93,3.87,5.1,0.3564418604651162
59,171,123032.SZ,103.151,5.28,6.92,0.35190325757575736
60,133,113532.SH,106.84,6.13,7.75,0.35075040783034267
61,144,128067.SZ,116.8,23.65,27.28,0.3472744186046512
62,151,113027.SH,104.42,7.92,10.17,0.3408477272727273
63,73,113516.SH,109.22,4.62,5.67,0.34042727272727247
64,118,110053.SH,115.72,6.56,7.56,0.33360243902439024
65,219,128092.SZ,111.998,7.45,8.86,0.33194936912751666
66,193,110062.SH,124.81,24.37,25.99,0.3310676651620844
67,199,113029.SH,117.24,11.18,12.66,0.3276014311270124
68,156,128070.SZ,103.05,7.47,9.55,0.31743975903614463
69,3,110034.SH,115.0,16.07,18.32,0.311014312383323
70,179,127014.SZ,112.11,7.56,8.84,0.3109158730158731
71,185,110061.SH,117.25,8.92,9.92,0.30394618834080733
72,163,128071.SZ,108.82,3.66,4.38,0.3022721311475409
73,71,128042.SZ,112.17,11.21,13.01,0.3018123996431757
74,211,110065.SH,113.0,8.64,9.93,0.29871527777777757
75,223,128093.SZ,106.7,4.94,6.0,0.2959514170040485
76,209,110064.SH,112.59,4.06,4.65,0.289516009852217
77,186,123035.SZ,125.81,6.87,7.04,0.28923202328966513
78,177,113546.SH,103.24,14.95,18.45,0.27409899665551846
79,134,128063.SZ,110.797,7.54,8.67,0.2740185543766579
80,83,128048.SZ,112.997,5.25,5.91,0.27202337142857136
81,25,128021.SZ,111.28,4.6,5.25,0.2700434782608698
82,172,113545.SH,108.99,9.8,11.4,0.2678428571428571
83,166,128073.SZ,106.66,4.88,5.8,0.2676803278688524
84,75,123015.SZ,112.6,5.16,5.79,0.2634767441860466
85,181,110060.SH,115.01,6.6,7.24,0.26162484848484874
86,170,128075.SZ,115.0,5.28,5.79,0.2610795454545455
87,200,128084.SZ,121.0,12.49,12.95,0.2545636509207365
88,65,123011.SZ,107.72,29.79,34.66,0.2532981537428666
89,38,110042.SH,118.87,13.46,14.18,0.2522857355126299
90,213,113030.SH,113.76,6.27,6.9,0.251904306220096
91,210,113558.SH,124.6,19.62,19.68,0.24981039755351667
92,187,113549.SH,106.24,7.65,8.99,0.24849359477124172
93,17,128017.SZ,128.503,23.64,22.96,0.24806636209813845
94,160,113542.SH,113.0,15.06,16.62,0.24705179282868514
95,9,113011.SH,121.55,3.88,3.97,0.24369458762886595
96,225,127015.SZ,127.5,20.29,19.78,0.24295219319862013
97,184,123034.SZ,103.7,6.67,7.98,0.24066866566716666
98,2,110033.SH,113.55,6.8,7.42,0.23903088235294115
99,36,110041.SH,114.99,2.62,2.82,0.2376786259541984
100,0,113008.SH,112.65,4.67,5.13,0.23746145610278377
101,122,110056.SH,121.06,15.39,15.68,0.23341182586094858
102,34,128029.SZ,128.73,9.03,8.65,0.23312790697674435
103,195,123036.SZ,146.6,46.56,39.15,0.23268685567010294
104,42,128034.SZ,110.56,4.2,4.68,0.23195428571428564
105,89,110047.SH,114.88,3.12,3.34,0.22980512820512816
106,197,113553.SH,115.81,59.1,62.69,0.2284482064297799
107,66,113514.SH,107.26,4.24,4.85,0.22691273584905644
108,131,110057.SH,123.38,10.05,9.99,0.22643402985074607
109,196,128083.SZ,127.11,12.36,11.9,0.22379368932038834
110,76,128044.SZ,116.989,5.66,5.92,0.22363053003533567
111,1,110031.SH,123.53,22.11,21.79,0.21742139303482572
112,159,113541.SH,105.78,16.27,18.72,0.21708764597418548
113,221,113561.SH,105.6,12.33,14.21,0.2170121654501217
114,205,113557.SH,109.73,9.26,10.26,0.21579892008639323
115,224,123040.SZ,130.503,34.77,32.39,0.2157009404659187
