,index,ts_code,det_price,share_price,conv_price,over_rate
0,26,113502.SH,98.71,0.0,45.48,inf
1,52,123007.SZ,117.05,0.0,45.21,inf
2,2,110031.SH,102.49,21.59,42.8,1.0317610004631772
3,12,128013.SZ,92.666,4.75,10.01,0.9528140210526314
4,9,113010.SH,104.3,5.12,9.3,0.8945117187499999
5,1,113008.SH,100.82,6.18,10.37,0.6917530744336569
6,11,127003.SZ,93.55,2.93,5.25,0.6762372013651876
7,10,128012.SZ,97.619,5.02,7.74,0.5051216334661357
8,16,127004.SZ,96.1,5.2,7.84,0.44889230769230737
9,0,110030.SH,108.05,5.57,7.24,0.40445601436265693
10,14,113012.SH,107.24,13.01,16.72,0.3782112221368176
11,29,128020.SZ,99.399,21.57,29.87,0.3764710848400557
12,37,123003.SZ,99.51,28.81,36.59,0.26382190211732076
13,32,128021.SZ,102.473,14.9,18.17,0.24962040939597313
14,3,123001.SZ,100.64,8.02,9.81,0.2310204488778058
15,25,128019.SZ,98.2,6.78,8.37,0.21229203539822988
16,23,128018.SZ,96.31,9.53,11.9,0.2026117523609655
17,34,128023.SZ,94.802,8.25,10.44,0.1996762181818181
18,18,113013.SH,106.55,18.0,20.2,0.19572777777777772
19,6,110034.SH,110.6,17.36,18.52,0.17990322580645152
20,24,113016.SH,100.67,19.78,23.0,0.17058139534883723
21,41,123004.SZ,101.851,10.81,12.39,0.1673764014801111
22,20,113014.SH,108.13,8.27,8.8,0.15059733978234588
23,38,128026.SZ,96.5,9.91,11.74,0.1431987891019171
24,13,113011.SH,112.3,4.25,4.31,0.13885411764705877
25,54,128034.SZ,96.998,7.81,9.16,0.13764619718309865
26,8,128010.SZ,117.0,9.59,9.32,0.13705943691345168
27,49,110042.SH,105.62,13.33,14.29,0.13226541635408848
28,31,110040.SH,114.05,17.47,17.34,0.13201316542644537
29,51,128033.SZ,101.1,12.01,13.35,0.12380099916736044
30,36,128025.SZ,101.153,18.32,20.2,0.11533329694323148
31,17,128015.SZ,105.85,12.28,12.9,0.11194218241042357
32,30,123002.SZ,110.2,20.9,21.04,0.10938181818181827
33,55,110043.SH,97.43,7.82,8.9,0.10885805626598481
34,35,128024.SZ,118.333,19.7,18.45,0.10824560913705582
35,21,128017.SZ,126.0,27.32,23.92,0.10319180087847744
36,47,110041.SH,103.17,2.79,2.95,0.09086559139784964
37,46,128030.SZ,104.011,7.9,8.25,0.08619082278481
38,4,110032.SH,120.2,8.25,7.43,0.08252848484848488
39,53,113018.SH,104.4,7.37,7.61,0.0779972862957938
40,44,128028.SZ,118.376,78.99,71.89,0.07735797442714273
41,15,128014.SZ,106.82,20.29,20.46,0.07714992607195653
42,56,128035.SZ,119.15,58.32,52.7,0.07668124142661192
43,22,113015.SH,121.54,36.8,32.35,0.06842907608695681
44,43,123006.SZ,118.21,15.16,13.69,0.06747684696569914
45,27,110038.SH,116.76,44.89,41.04,0.06746054800623755
46,39,128027.SZ,109.006,31.66,30.93,0.06492595704358811
47,50,113017.SH,101.46,2.85,2.98,0.06087999999999986
48,5,110033.SH,118.74,9.9,8.81,0.056666060606060574
49,45,128029.SZ,135.5,11.36,8.85,0.055611795774647976
50,7,113009.SH,112.81,22.7,21.24,0.055543788546255475
51,40,113503.SH,108.49,26.43,25.41,0.043030987514188324
52,19,128016.SZ,122.76,45.48,38.48,0.038655408970976406
53,48,128032.SZ,106.3,10.37,10.07,0.03224783027965297
54,33,128022.SZ,118.8,12.85,11.12,0.02805914396887151
55,28,110039.SH,128.4,24.33,18.36,-0.03106288532675701
56,42,123005.SZ,117.0,15.98,13.11,-0.04013141426783487
