,index,ts_code,det_price,share_price,conv_price,over_rate
0,311,110077.SH,109.66,0.0,7.13,inf
1,56,123013.SZ,478.0,6.65,9.13,5.562616541353384
2,53,128041.SZ,335.48,5.92,6.82,2.8648202702702705
3,60,123015.SZ,306.0,4.79,5.79,2.69883089770355
4,49,110044.SH,255.86,6.0,6.9,1.9423900000000003
5,293,123072.SZ,150.89,37.75,73.13,1.9230690596026483
6,204,113580.SH,290.0,15.6,15.51,1.8832692307692311
7,44,128037.SZ,93.88,2.76,7.99,1.7177579710144932
8,96,128062.SZ,68.45,4.21,16.25,1.6420724465558196
9,12,127004.SZ,193.03,5.63,7.46,1.557733214920071
10,190,113575.SH,211.58,12.65,14.56,1.4352607114624507
11,19,113502.SH,95.98,17.66,44.79,1.434283238958097
12,75,128052.SZ,303.5,9.18,6.67,1.2051688453159042
13,162,123042.SZ,154.0,18.82,24.4,0.996599362380446
14,13,128015.SZ,95.2,4.61,9.48,0.9576919739696312
15,74,123018.SZ,243.3,10.4,8.32,0.9464000000000001
16,241,127019.SZ,78.95,8.73,21.07,0.905471363115693
17,1,110031.SH,106.49,12.13,21.56,0.8927653751030498
18,175,113569.SH,89.3,7.09,14.84,0.8691283497884346
19,213,113584.SH,106.22,21.66,37.97,0.8620375807940903
20,137,123034.SZ,209.0,9.14,7.97,0.8224617067833696
21,24,128023.SZ,95.38,5.56,10.34,0.7737935251798562
22,54,123011.SZ,93.0,18.13,34.54,0.7717705460562605
23,52,110045.SH,97.51,6.48,11.75,0.7681211419753086
24,228,113589.SH,82.7,5.9,12.44,0.7437084745762711
25,61,128044.SZ,87.0,2.96,5.91,0.7370608108108109
26,77,113527.SH,80.35,4.57,9.85,0.7318326039387306
27,6,128012.SZ,100.0,2.56,4.38,0.7109374999999999
28,65,127008.SZ,239.99,7.79,5.54,0.7067324775353017
29,259,113597.SH,94.13,13.0,23.4,0.6943399999999998
30,30,128030.SZ,245.5,11.39,7.85,0.6919885864793678
31,57,123014.SZ,137.0,6.67,8.12,0.6678260869565216
32,201,113573.SH,96.0,11.01,18.81,0.6401089918256131
33,187,113574.SH,98.68,20.68,33.99,0.621921276595745
34,277,123065.SZ,110.6,27.8,40.54,0.6128503597122301
35,256,113596.SH,85.97,15.59,29.21,0.6107656831302115
36,265,127021.SZ,100.35,7.79,12.33,0.5883382541720154
37,279,128132.SZ,91.1,10.7,18.57,0.5810532710280374
38,63,113519.SH,96.38,6.83,11.15,0.5734070278184481
39,106,110058.SH,91.34,2.93,5.04,0.5711726962457337
40,83,110052.SH,98.85,5.01,7.94,0.5666047904191617
41,278,128131.SZ,103.12,12.97,19.54,0.5535580570547417
42,34,128033.SZ,96.2,5.48,8.83,0.5500839416058394
43,252,128122.SZ,101.0,9.26,14.18,0.546630669546436
44,121,128072.SZ,92.9,9.29,15.34,0.5340000000000001
45,33,113017.SH,91.91,1.77,2.95,0.5318333333333335
46,108,113535.SH,92.16,7.49,12.4,0.5257463284379171
47,91,123024.SZ,102.85,16.79,24.9,0.5252918403811793
48,133,110059.SH,101.75,9.68,14.45,0.5188920454545456
49,124,123031.SZ,258.0,31.42,18.43,0.5133481858688733
50,23,128022.SZ,94.01,4.94,7.92,0.5072048582995952
51,11,128014.SZ,101.02,8.45,12.6,0.5063337278106508
52,182,128101.SZ,110.5,10.25,13.86,0.4941756097560975
53,301,110076.SH,114.75,26.69,34.66,0.49015923566878955
54,114,128069.SZ,94.2,11.43,18.04,0.4867611548556429
55,273,113602.SH,112.41,26.93,35.28,0.47264196063869296
56,104,127013.SZ,98.5,7.63,11.39,0.4703997378768024
57,93,113530.SH,95.24,10.78,16.64,0.47012393320964757
58,205,113579.SH,113.3,32.46,42.05,0.467734134319162
59,55,123012.SZ,125.58,4.55,5.31,0.4655599999999999
60,320,123081.SZ,104.5,46.08,64.28,0.4577387152777777
61,115,128070.SZ,103.86,6.8,9.51,0.4525126470588236
62,177,110067.SH,112.38,6.82,8.67,0.42864310850439874
63,122,123030.SZ,169.4,6.72,5.65,0.42427083333333354
64,73,113525.SH,96.72,5.32,7.83,0.42352932330827053
65,191,127016.SZ,96.38,6.04,8.91,0.42176456953642383
66,156,123039.SZ,102.0,23.59,32.87,0.42125476896990244
67,169,113566.SH,95.46,7.25,10.77,0.41807475862068955
