,index,ts_code,det_price,share_price,conv_price,over_rate
0,10,128013.SZ,95.24,2.86,9.97,2.3200797202797205
1,8,128012.SZ,96.716,2.61,7.71,1.857012873563218
2,7,128010.SZ,100.501,3.46,9.26,1.6897088439306358
3,2,110031.SH,107.3,20.51,41.94,1.1941306679668449
4,14,127004.SZ,92.319,3.32,7.59,1.1105458132530122
5,30,128023.SZ,92.514,4.61,10.34,1.0750428633405638
6,57,128037.SZ,94.85,3.72,8.01,1.0423346774193545
7,18,113014.SH,96.76,4.07,8.59,1.0421828009828011
8,49,128035.SZ,99.514,26.14,52.3,0.9910413925019126
9,38,128028.SZ,98.63,21.68,42.28,0.9234669741697417
10,42,128032.SZ,93.581,4.96,9.93,0.8735067137096776
11,24,113502.SH,96.46,23.24,45.04,0.8694313253012049
12,85,128046.SZ,101.9,11.29,18.62,0.6805828166519047
13,129,113022.SH,105.5,7.97,12.46,0.6493475533249687
14,0,110030.SH,104.58,4.45,6.94,0.6309779775280898
15,140,113530.SH,98.5,10.52,16.76,0.5692585551330802
16,61,113509.SH,99.0,12.09,18.89,0.5468238213399503
17,13,128014.SZ,98.627,8.49,13.28,0.5427167962308597
18,15,128015.SZ,92.1,5.66,9.48,0.5425936395759716
19,60,113508.SH,103.2,11.32,16.83,0.5343250883392224
20,29,128022.SZ,97.764,5.06,7.91,0.5282870355731225
21,155,110058.SH,96.13,4.02,6.35,0.5184713930348259
22,6,113009.SH,108.49,10.55,14.46,0.4869814218009477
23,25,110038.SH,106.7,27.88,38.81,0.48530380200860834
24,5,110034.SH,102.86,12.71,18.32,0.4826083398898503
25,21,128018.SZ,94.628,4.79,7.45,0.47177160751565744
26,134,110056.SH,98.25,14.5,21.64,0.46629655172413814
27,12,113012.SH,100.33,9.15,13.29,0.45725213114754065
28,149,113024.SH,104.1,7.06,9.87,0.4553356940509915
29,153,127013.SZ,98.5,7.85,11.57,0.4517770700636943
30,122,123021.SZ,99.95,9.38,13.6,0.44916844349680146
31,34,128026.SZ,93.309,7.45,11.54,0.4453501476510064
32,150,113534.SH,98.0,14.13,20.7,0.4356687898089172
33,97,113522.SH,105.8,21.84,29.6,0.433919413919414
34,33,123003.SZ,99.31,7.28,10.44,0.4241708791208791
35,44,113017.SH,99.9,2.1,2.95,0.4033571428571432
36,84,113518.SH,109.5,28.76,36.57,0.3923557023643948
37,114,128054.SZ,101.445,16.32,22.28,0.3849231617647058
38,69,110045.SH,100.2,8.73,12.02,0.37961512027491423
39,126,127011.SZ,105.8,9.05,11.79,0.37832265193370135
40,56,127006.SZ,101.401,15.2,20.62,0.3755846184210529
41,154,128065.SZ,95.201,6.24,8.96,0.36698871794871796
42,46,123007.SZ,106.9,11.85,15.05,0.35767510548523207
43,121,113021.SH,105.77,5.63,7.22,0.35641101243339235
44,39,128029.SZ,109.0,6.96,8.65,0.3546695402298853
45,16,113013.SH,113.81,16.6,19.67,0.3485799397590362
46,19,128017.SZ,111.5,19.21,22.96,0.33266007287870897
47,94,123017.SZ,122.6,52.98,57.49,0.3303650434126084
48,22,113016.SH,96.0,12.45,17.12,0.3200963855421688
49,63,128040.SZ,100.017,8.63,11.37,0.31772107763615265
50,101,128050.SZ,98.421,16.15,21.59,0.31573336842105293
51,37,123004.SZ,98.944,3.01,3.98,0.3082960797342193
52,112,113527.SH,95.41,7.69,10.52,0.3052187256176853
53,133,123022.SZ,108.789,5.21,6.25,0.3050503838771593
54,83,128045.SZ,111.118,6.5,7.63,0.3043543692307691
55,119,113528.SH,98.74,18.26,24.03,0.29940974808324194
56,143,110057.SH,106.6,8.2,9.99,0.29869999999999997
57,77,128042.SZ,99.285,10.0,12.99,0.2897121499999999
58,118,110051.SH,103.11,8.15,10.19,0.289191288343558
59,102,113524.SH,99.39,11.24,14.56,0.28747188612099656
60,45,128033.SZ,100.499,7.0,8.93,0.28208009999999983
61,48,110043.SH,103.96,5.29,6.52,0.2813217391304346
62,80,113517.SH,110.7,31.6,36.53,0.2797060126582279
63,26,128020.SZ,110.15,10.53,12.23,0.2793300094966763
64,157,128067.SZ,111.603,23.86,27.28,0.27599741827326074
65,52,113505.SH,99.45,5.66,7.24,0.2721166077738517
66,147,128063.SZ,103.226,7.04,8.67,0.2712633806818182
67,64,113510.SH,104.3,7.06,8.59,0.2690325779036828
68,4,110033.SH,111.64,7.35,8.34,0.26677224489795925
69,117,128056.SZ,98.379,5.28,6.78,0.2632757954545455
70,142,123025.SZ,112.58,44.8,50.25,0.26275558035714297
71,104,113525.SH,104.38,6.73,8.11,0.2578332838038632
72,135,123023.SZ,99.11,5.69,7.19,0.25237416520210887
73,75,123013.SZ,101.47,7.51,9.22,0.24574354194407463
74,158,113535.SH,99.72,10.06,12.56,0.24501312127236569
75,71,123011.SZ,96.676,26.93,34.66,0.24425924990716658
76,82,128044.SZ,98.573,4.69,5.92,0.24424767590618313
77,55,127005.SZ,116.2,6.96,7.43,0.24046839080459778
78,137,127012.SZ,106.202,7.84,9.09,0.23134716836734706
79,53,123009.SZ,111.5,24.91,27.49,0.2304837414692893
80,23,128019.SZ,107.0,6.89,7.92,0.2299564586357039
81,167,128069.SZ,100.07,14.74,18.08,0.22745291723202132
82,148,128064.SZ,99.9,5.01,6.15,0.22631736526946128
83,51,113504.SH,106.11,18.59,21.43,0.22320457235072622
84,152,113026.SH,105.54,5.35,6.2,0.2230803738317759
85,68,123010.SZ,103.04,10.5,12.38,0.21489066666666673
86,145,113532.SH,104.0,6.64,7.75,0.21385542168674707
87,67,127007.SZ,106.309,4.93,5.61,0.20972310344827588
88,79,113516.SH,107.56,5.05,5.67,0.20765386138613853
89,127,128059.SZ,116.4,73.0,75.71,0.20721150684931494
90,130,110053.SH,108.86,6.82,7.56,0.2067178885630498
91,43,110042.SH,115.97,13.63,14.18,0.20649640498899463
92,9,127003.SZ,100.91,2.52,3.01,0.20531388888888896
93,92,113521.SH,100.68,7.29,8.7,0.2015308641975308
94,161,113537.SH,99.81,16.56,19.93,0.20121576086956522
95,90,128048.SZ,106.94,5.27,5.91,0.19927020872865284
96,76,123014.SZ,103.647,7.04,8.14,0.1984184375000001
97,11,113011.SH,111.51,3.7,3.97,0.19647216216216218
98,81,123015.SZ,104.11,5.04,5.79,0.1960255952380953
99,1,113008.SH,113.43,4.93,5.19,0.19412109533468583
100,139,128061.SZ,116.05,27.54,28.29,0.1921040305010893
101,88,113519.SH,106.55,10.65,11.85,0.18555633802816895
102,28,128021.SZ,104.641,4.64,5.25,0.1839768318965518
103,131,110055.SH,112.23,16.37,17.25,0.18263133781307267
104,98,128049.SZ,98.86,6.29,7.52,0.18191923688394274
105,124,128057.SZ,101.78,7.6,8.81,0.1798444736842105
106,144,128062.SZ,99.2,13.73,16.25,0.1740713765477056
107,103,128051.SZ,101.799,11.03,12.72,0.1739648957388941
108,156,128066.SZ,99.13,14.63,17.29,0.17153636363636363
109,72,113514.SH,99.02,4.1,4.85,0.1713341463414634
110,62,128039.SZ,101.722,5.07,5.83,0.16970268244575928
111,93,113020.SH,114.97,12.3,12.51,0.1693290243902438
112,169,128070.SZ,99.043,8.09,9.55,0.1691726205191597
113,99,110048.SH,115.0,8.35,8.48,0.16790419161676642
114,115,123019.SZ,103.12,11.75,13.29,0.16635302127659574
115,50,113019.SH,120.0,19.14,18.55,0.1630094043887148
116,125,128058.SZ,111.539,5.32,5.54,0.1615151503759397
117,171,113540.SH,100.11,8.76,10.13,0.15766472602739737
118,47,128034.SZ,108.041,4.37,4.68,0.15705235697940484
119,151,113025.SH,100.98,9.9,11.3,0.1526000000000001
120,17,128016.SZ,117.65,22.9,22.33,0.14721593886462894
121,96,110047.SH,106.0,3.09,3.34,0.14576051779935273
122,27,123002.SZ,117.5,8.86,8.6,0.1405191873589164
123,132,110054.SH,122.8,13.23,12.28,0.13982161753590316
124,35,128027.SZ,120.289,15.57,14.75,0.1395393384714195
125,87,123016.SZ,114.384,7.86,7.82,0.13801893129771003
126,113,128053.SZ,104.647,4.5,4.89,0.13716406666666675
127,116,128055.SZ,112.5,7.34,7.41,0.13572888283378756
128,36,113503.SH,127.42,20.14,17.9,0.13248162859980128
129,105,110049.SH,119.92,15.41,14.55,0.1322751460090851
130,160,128068.SZ,111.299,8.94,9.09,0.13166432885906057
131,73,123012.SZ,102.328,4.85,5.36,0.130882639175258
132,65,113511.SH,117.59,19.07,18.31,0.12903665443104337
