,index,ts_code,det_price,share_price,conv_price,over_rate
0,40,123004.SZ,91.39,0.0,8.23,inf
1,10,128012.SZ,79.457,2.32,7.71,1.6405753017241378
2,12,128013.SZ,86.479,3.41,9.98,1.530968973607038
3,1,113008.SH,101.85,4.93,10.28,1.1237687626774846
4,31,128021.SZ,91.836,5.06,11.23,1.0381784189723322
5,16,127004.SZ,85.75,3.43,7.72,0.93
6,8,128010.SZ,93.5,4.59,9.28,0.8903703703703705
7,28,128020.SZ,93.4,11.77,22.9,0.8172132540356839
8,3,123001.SZ,92.4,5.18,9.79,0.7463243243243245
9,33,128023.SZ,86.299,5.21,10.34,0.7127287140115165
10,20,113014.SH,91.58,4.75,8.76,0.688928
11,0,110030.SH,102.05,4.21,6.94,0.6822494061757721
12,23,128018.SZ,85.821,6.23,11.83,0.6296347191011233
13,26,113502.SH,88.33,24.66,45.27,0.6215324817518247
14,22,113015.SH,97.5,13.84,22.98,0.6188945086705201
15,42,128028.SZ,100.251,30.13,47.61,0.5841188549618321
16,72,113511.SH,92.7,15.65,25.86,0.5317712460063898
17,9,113010.SH,102.95,4.11,6.02,0.5079294403892942
18,2,110031.SH,105.99,29.92,42.38,0.5012888368983958
19,19,128016.SZ,101.435,15.28,22.55,0.4969628599476442
20,71,113510.SH,93.45,7.13,11.32,0.4836661991584853
21,7,113009.SH,101.44,10.22,14.86,0.47494951076320924
22,63,128037.SZ,86.51,4.72,8.03,0.47176970338983043
23,61,127005.SZ,96.308,5.01,7.45,0.43212495009980045
24,50,123007.SZ,94.8,16.6,24.99,0.42713975903614426
25,21,128017.SZ,103.078,17.05,23.32,0.4098410322580646
26,18,113013.SH,103.56,14.62,19.8,0.4025225718194256
27,37,128026.SZ,86.609,7.19,11.64,0.4021262308762168
28,29,123002.SZ,100.669,8.57,11.61,0.363788903150525
29,46,128032.SZ,95.602,7.18,9.99,0.3301726740947075
30,24,113016.SH,97.14,16.75,22.76,0.3199441194029852
31,44,128030.SZ,91.998,5.69,8.15,0.31772179261862926
32,55,128035.SZ,107.057,42.77,52.5,0.314120294599018
33,36,123003.SZ,96.58,11.85,16.08,0.31055392405063276
34,68,113509.SH,98.97,19.31,25.34,0.29875701708959085
35,5,110033.SH,104.25,6.96,8.61,0.2896443965517242
36,25,128019.SZ,95.444,6.12,8.22,0.2819439215686276
37,78,110045.SH,99.66,9.7,12.4,0.27400412371134025
38,6,110034.SH,105.04,15.19,18.42,0.2737569453587888
39,32,128022.SZ,100.4,8.69,11.02,0.27319677790563873
40,17,128015.SZ,93.486,9.45,12.87,0.2731902857142858
41,45,110041.SH,97.3,2.24,2.92,0.2683749999999998
42,70,128040.SZ,90.198,8.21,11.45,0.25793800243605325
43,62,127006.SZ,97.752,16.37,20.82,0.24324779474648728
44,48,113017.SH,91.1,2.18,2.96,0.23695412844036695
