,index,ts_code,det_price,share_price,conv_price,over_rate
0,11,128013.SZ,93.813,3.6,9.98,1.6007048333333331
1,9,128012.SZ,94.001,2.96,7.71,1.4484719932432435
2,15,127004.SZ,91.105,3.6,7.72,0.9536961111111111
3,8,128010.SZ,100.49,4.8,9.28,0.9428066666666666
4,35,123003.SZ,97.72,8.5,16.08,0.8486324705882351
5,32,128023.SZ,93.623,5.3,10.34,0.8265317358490568
6,22,128018.SZ,94.5,6.46,11.83,0.7305495356037152
7,2,110031.SH,112.13,28.41,42.38,0.6726749032030974
8,16,128015.SZ,97.81,7.57,12.86,0.6616071334214
9,31,128022.SZ,105.011,7.11,10.99,0.6231658087201124
10,41,128028.SZ,102.25,26.92,42.58,0.6173124071322436
11,19,113014.SH,102.31,5.58,8.76,0.6061569892473119
12,62,128037.SZ,93.98,4.76,8.03,0.5854189075630252
13,0,110030.SH,102.98,4.74,6.94,0.5077662447257384
14,36,128026.SZ,93.765,7.46,11.64,0.4630356568364613
15,20,128017.SZ,105.112,16.83,23.32,0.4564538562091505
16,54,128035.SZ,107.579,39.77,52.5,0.42014018104098544
17,45,128032.SZ,99.4,7.1,9.99,0.3986
18,13,113012.SH,100.8,9.79,13.44,0.383812053115424
19,25,113502.SH,97.5,31.98,45.27,0.38018292682926835
20,71,113511.SH,99.57,18.85,25.85,0.36545596816976106
21,7,113009.SH,109.73,11.91,14.74,0.35803543240973973
22,27,128020.SZ,104.6,12.37,16.0,0.35295068714632166
23,70,113510.SH,99.04,8.4,11.32,0.33468190476190485
24,26,110038.SH,115.97,35.04,40.04,0.3251823059360729
25,77,110045.SH,105.0,9.85,12.4,0.3218274111675127
26,14,128014.SZ,99.11,10.2,13.53,0.314665
27,42,128029.SZ,107.8,7.24,8.75,0.30283149171270707
28,93,128046.SZ,105.85,15.37,18.82,0.2960943396226417
29,18,128016.SZ,109.8,19.22,22.63,0.29280645161290314
30,43,128030.SZ,108.06,6.82,8.15,0.2913328445747799
31,66,113508.SH,101.28,18.65,23.74,0.28921565683646117
32,6,110034.SH,107.49,15.44,18.42,0.28236126943005196
33,55,113019.SH,108.3,16.01,18.84,0.2744359775140537
34,88,113517.SH,114.39,46.28,51.28,0.2674847018150388
35,61,127006.SZ,109.03,17.97,20.82,0.2632190317195327
36,74,123010.SZ,99.238,11.42,14.3,0.2426474605954467
37,90,128044.SZ,99.62,8.54,10.63,0.24000070257611272
38,60,127005.SZ,115.83,7.03,7.45,0.22750142247510657
39,17,113013.SH,120.13,19.51,19.8,0.21915633008713475
40,30,128021.SZ,101.75,4.47,5.35,0.21781319910514538
41,85,128042.SZ,102.02,11.38,13.25,0.1878427065026361
42,91,128045.SZ,116.4,7.56,7.66,0.1793968253968255
43,38,113503.SH,103.7,15.85,17.99,0.17701135646687682
44,5,110033.SH,109.75,8.04,8.61,0.17530783582089565
45,24,128019.SZ,108.5,7.61,8.22,0.1719710906701709
46,10,127003.SZ,97.916,2.93,3.5,0.1696450511945391
47,69,128040.SZ,98.42,9.66,11.45,0.1665724637681158
48,29,110040.SH,117.31,11.7,11.62,0.1650788034188033
49,47,113017.SH,100.81,2.57,2.96,0.16108015564202358
50,67,113509.SH,104.53,17.5,19.38,0.15759508571428554
51,111,128051.SZ,101.1,14.88,17.03,0.15707862903225794
52,56,113504.SH,112.0,21.04,21.73,0.1567300380228137
53,57,113505.SH,104.18,6.57,7.29,0.15596986301369872
54,94,128047.SZ,117.5,40.99,40.26,0.15407416443034866
55,48,128033.SZ,101.39,8.03,9.03,0.14016400996264008
56,59,128036.SZ,99.32,8.39,9.62,0.1388061978545886
57,92,113518.SH,115.3,53.35,52.38,0.13203636363636365
