,index,ts_code,det_price,share_price,conv_price,over_rate
0,228,113595.SH,90.87,0.0,6.93,inf
1,346,127030.SZ,124.05,0.0,14.2,inf
2,52,123013.SZ,365.3,6.9,9.13,3.833607246376812
3,56,123015.SZ,196.6,3.29,5.79,2.459920972644377
4,49,128041.SZ,287.5,5.71,6.82,2.433887915936953
5,89,128062.SZ,78.09,4.08,16.25,2.1102022058823526
6,45,110044.SH,239.04,5.49,6.9,2.004327868852459
7,193,113580.SH,275.87,15.76,15.51,1.7149388959390865
8,40,128037.SZ,96.8,2.91,7.99,1.6578419243986255
9,272,123072.SZ,119.92,34.67,73.13,1.52949224113066
10,69,113526.SH,292.11,7.29,6.11,1.4482744855967082
11,9,127004.SZ,161.67,5.1,7.46,1.3648199999999997
12,16,113502.SH,104.42,20.02,44.79,1.3361497502497501
13,10,128015.SZ,101.2,4.43,9.48,1.1656343115124155
14,256,123065.SZ,99.41,18.73,40.54,1.1516718633208756
15,200,113584.SH,96.5,17.45,37.97,1.0997736389684813
16,221,127019.SZ,89.85,9.1,21.07,1.0803730769230768
17,236,113596.SH,89.08,12.64,29.21,1.0585655063291137
18,165,113569.SH,93.7,6.95,14.84,1.0007309352517986
19,0,110031.SH,106.67,11.85,21.56,0.9407638818565401
20,57,128044.SZ,93.41,2.88,5.91,0.9168510416666668
21,210,113589.SH,90.42,5.94,12.44,0.8936444444444444
22,26,128030.SZ,237.8,10.1,7.85,0.8482475247524753
23,190,113573.SH,97.6,10.07,18.81,0.8230943396226413
24,239,113597.SH,98.16,12.7,23.4,0.8086173228346456
25,177,113574.SH,99.64,18.82,33.99,0.7995555791710947
26,283,128136.SZ,113.09,36.96,58.36,0.7856959956709957
27,76,110052.SH,97.95,4.43,7.94,0.7555823927765238
28,280,110076.SH,109.55,21.72,34.66,0.7481597605893184
29,244,127021.SZ,99.56,7.1,12.33,0.728978591549296
30,299,123081.SZ,98.9,37.64,64.28,0.6889723698193412
31,289,123076.SZ,93.76,10.64,18.98,0.6725233082706767
32,50,123011.SZ,100.15,20.75,34.54,0.6670751807228915
33,68,123018.SZ,199.12,9.94,8.32,0.66667847082495
34,21,128023.SZ,102.15,6.38,10.34,0.6555344827586208
35,152,123042.SZ,120.2,17.77,24.4,0.6504670793472144
36,257,128131.SZ,99.74,11.81,19.54,0.6502282811176966
37,326,113619.SH,99.6,16.19,26.5,0.6302655960469423
38,129,123034.SZ,169.99,8.33,7.97,0.6264349339735895
39,169,123044.SZ,101.33,11.82,18.8,0.6116785109983078
40,258,128132.SZ,92.49,10.71,18.57,0.603678151260504
41,232,128122.SZ,101.25,9.14,14.18,0.5708150984682712
42,29,113017.SH,95.95,1.83,2.95,0.5467349726775959
43,271,123071.SZ,103.3,13.45,20.05,0.539899628252788
44,288,128138.SZ,102.1,16.93,25.43,0.5336107501476668
45,171,128100.SZ,86.6,1.64,2.9,0.531341463414634
46,91,128063.SZ,101.91,5.76,8.63,0.5268807291666668
47,216,128118.SZ,95.68,17.3,27.53,0.5225840462427747
48,8,128014.SZ,103.0,8.56,12.6,0.5161214953271028
49,59,113519.SH,99.12,7.32,11.15,0.5098196721311475
50,113,128072.SZ,97.52,9.92,15.34,0.5080209677419354
51,215,128117.SZ,98.85,19.06,29.03,0.505569517313746
52,106,128069.SZ,98.59,11.93,18.04,0.49083285834031837
53,125,110059.SH,102.6,10.05,14.45,0.475194029850746
54,107,128070.SZ,102.0,6.61,9.51,0.46750378214825994
55,83,123023.SZ,95.0,4.57,7.04,0.46345733041575476
56,46,127007.SZ,99.5,3.8,5.58,0.4610789473684211
